id,created,english,french,identifier,modified,spanish
10,2017-04-10 21:12:03.351-04,Images,Images,Images,2017-04-10 21:12:03.351-04,Imagenes
11,2017-04-10 21:13:25.817-04,Languages,Langues,Languages,2017-04-10 21:13:25.817-04,Idiomas
8,2017-04-09 18:52:29.641-04,Welcome,Bienvenue,Welcome,2017-04-10 21:13:43.319-04,Bienvenido
12,2017-04-10 21:18:15.207-04,Login,Se connecter,Login,2017-04-10 21:18:15.207-04,Iniciar sesión
26,2017-04-10 22:51:00.251-04,Signup,S'inscrire,Signup,2017-04-10 22:51:00.251-04,Registrarse
27,2017-04-10 22:53:00.524-04,Forgot password,Mot de passe oublié,Forgot password,2017-04-10 22:53:17.949-04,Recuperar la clave
28,2017-04-11 11:34:30.806-04,Email,Courriel,Email,2017-04-11 11:34:30.806-04,Correo electronico
29,2017-04-11 11:34:55.543-04,Password,Mot de passe,Password,2017-04-11 11:34:55.543-04,Clave
30,2017-04-11 11:35:49.582-04,Email address,Adress courriel,Email address,2017-04-11 11:35:49.582-04,Direccion de correo electronico
31,2017-04-11 11:38:01.133-04,Type your password,Adress courriel,Type your password,2017-04-11 11:38:52.753-04,Ingrese su contraseña
33,2017-04-11 12:01:10.725-04,Confirm your password,Confirmer votre mot de passe,Confirm your password,2017-04-11 12:01:10.725-04,Confirme su clave
34,2017-04-11 12:03:55.506-04,Prefered language,Langue préférée,Prefered language,2017-04-11 12:03:55.506-04,Idioma preferido
35,2017-04-11 12:05:59.182-04,Select a language,Sélectionnez une langue,Select a language,2017-04-11 12:05:59.182-04,Seleccione un idioma
37,2017-04-11 14:33:19.725-04,Reset password,Réinitialiser le mot de passe,Reset password,2017-04-11 14:33:19.725-04,Resetear clave
